Shape,b1 (mm),d1 (mm),davg (mm),ravg,b* (mm),b*/davg,fc (MPa),fy (MPa),Pu (kN)
S,203,,124,0.01,203,1.637096774,13.3,432,254
C,150,,117,0.008479332,117.8097245,1.006920722,26.175,441,255
S,250,,107,0.010569844,250,2.336448598,32.152275,304,257
S,200,,134,0.004989427,200,1.492537313,31.54,438,257
S,200,,124.7,0.005361534,200,1.603849238,24.7,438,258
S,200,,124.7,0,200,1.603849238,24.7,438,258
C,300,,123,0.005377138,235.619449,1.915605277,24.225,448,258
C,300,,125,0.005291103,235.619449,1.884955592,24.525,462,258
S,150,,70,0.015273757,150,2.142857143,71.25,490,258
R,160,160,99,0.014622435,160,1.616161616,25.84,416,260
S,160,,80,0.013962634,160,2,29.325,525,262
S,200,,107,0.006248442,200,1.869158879,33.82,438,264
S,175,,110,0,175,1.590909091,21.15,346,265
C,230,,90,0.005817764,180.6415776,2.00712864,31.825,620,265
C,110,,118,0.00841498,86.39379797,0.73215083,30.375,628,265
S,203,,111.252,0.010083308,203,1.824686298,19.38,434,266
S,150,,70,0.020065525,150,2.142857143,64.6,490,267
C,203,,121.55821,0.006645023,159.5929068,1.312892885,23.58006894,450,271
S,175,,110,0,175,1.590909091,21.15,346,275
C,150,,118,0.008407474,117.8097245,0.998387496,24.15,454,275
S,250,,110,0,250,2.272727273,20.475,346,277
C,210,,113,0.008340511,164.9336143,1.459589507,21.945,420,280
C,170,,118,0.00841498,133.5176878,1.131505829,30.15,628,280
C,240,,80,0.017951958,188.4955592,2.35619449,41.9,550,281
